word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
purification,,the act of removing dirty or harmful substances,净化；提纯,n,1,0,cet6,12000,14000,,,
expedition,,a journey organized for a particular purpose; a group of people on such a journey,远征；考察队；探险,n,2,0,cet6,9000,10000,,,
station,,a place or building where a service is based; a space station,站；车站；台；空间站,n,4,1,cet4,700,800,,,
exploration,,the act of travelling through an area to learn about it,探索；勘探,n,2,0,cet6,6000,6500,,,
equipment,,the things needed for a particular purpose,设备；装备；器材,n,4,1,cet4,1500,1600,,,
spacecraft,,a vehicle that travels in space,航天器；宇宙飞船,n,1,0,cet6,15000,16000,,,
milestone,,an important event in the development of something,里程碑；重要节点,n,2,0,cet6,11000,12000,,,
scientific,,relating to science,科学的,adj,3,1,cet4,2500,2600,,,
successful,,achieving the wanted result,成功的,adj,4,1,cet4,1800,1900,,,
technology,,scientific knowledge used in practical ways,技术；科技,n,4,1,cet4,1700,1800,,,
hardware,,physical equipment used for a particular purpose,硬件；设备,n,2,0,cet6,8000,8500,,,
rotation,,the act of moving or changing in a regular order,旋转；轮换,n,2,0,cet6,9000,9500,,,
launch,,to send a spacecraft or rocket into the sky; to start something,发射；推出；启动,n/v,4,1,cet4,3000,3200,,,
automated,,controlled by machines rather than people,自动化的,adj,1,0,cet6,12000,13000,,,
spacewalk,,an occasion when an astronaut works outside a spacecraft,太空行走；舱外活动,n,1,0,,25000,26000,,,
touchdown,,the act of landing on the ground,着陆；触地,n,1,0,,16000,17000,,,
cargo,,goods carried by ship aircraft or vehicle,货物；货运；补给物资,n,2,0,cet6,8000,9000,,,
booster,,a rocket that gives extra power for launch,助推器；增强装置,n,1,0,cet6,13000,14000,,,
critical,,very important; expressing criticism,关键的；批判的；严重的,adj,4,1,cet4,2000,2200,,,
endeavor,,a serious attempt or effort,努力；事业；尝试,n/v,2,0,cet6,10000,11000,,,
progress,,development or movement forward,进展；前进,n/v,4,1,cet4,1800,2000,,,
flight,,a journey through air or space,飞行；航班；飞行任务,n,4,1,cet4,1200,1300,,,
capsule,,a small container; a spacecraft part for people or cargo,胶囊；太空舱,n,2,0,cet6,9000,9800,,,
mission,,an important task; a space flight task,任务；使命；航天任务,n,4,1,cet4,2200,2300,,,
vehicle,,a machine used for transport,车辆；运载工具；飞行器,n,4,1,cet4,2500,2700,,,
orbit,,the curved path of an object around a planet,轨道；绕轨道运行,n/v,2,0,cet6,8000,8200,,,
international,,involving two or more countries,国际的,adj,4,1,cet4,1200,1250,,,
stage,,a period or step in a process; a rocket section,阶段；舞台；火箭级,n/v,4,1,cet4,1400,1500,,,
aboard,,on or into a ship aircraft train or spacecraft,在船上；在飞机上；上船；上飞机,adv/prep,2,0,cet6,9000,9500,,,
agency,,an organization that provides a service,机构；代理处,n,3,1,cet4,3000,3200,,,
